gid:0, code:000001, symbol:平安银行 
gid:20700, code:000637, symbol:茂化实华 
gid:20800, code:000638, symbol:万方发展 
gid:20900, code:000639, symbol:西王食品 
gid:21000, code:000650, symbol:仁和药业 
gid:21100, code:000651, symbol:格力电器 
gid:21200, code:000652, symbol:泰达股份 
gid:21300, code:000655, symbol:金岭矿业 
gid:21400, code:000656, symbol:金科股份 
gid:21500, code:000657, symbol:中钨高新 
gid:21600, code:000659, symbol:*ST中富 
gid:21700, code:000661, symbol:长春高新 
gid:21800, code:000662, symbol:天夏智慧 
gid:21900, code:000663, symbol:永安林业 
gid:22000, code:000665, symbol:湖北广电 
gid:22100, code:000666, symbol:经纬纺机 
gid:22200, code:000667, symbol:美好置业 
gid:22300, code:000668, symbol:荣丰控股 
gid:22400, code:000669, symbol:金鸿能源 
gid:22500, code:000670, symbol:盈方微 
gid:22600, code:000671, symbol:阳 光 城 
gid:22700, code:000672, symbol:上峰水泥 
gid:22800, code:000673, symbol:当代东方 
gid:22900, code:000676, symbol:智度股份 
gid:23000, code:000677, symbol:恒天海龙 
gid:23100, code:000678, symbol:襄阳轴承 
gid:23200, code:000679, symbol:大连友谊 
gid:23300, code:000680, symbol:山推股份 
gid:23400, code:000681, symbol:视觉中国 
gid:23500, code:000682, symbol:东方电子 
gid:23600, code:000683, symbol:远兴能源 
gid:23700, code:000685, symbol:中山公用 
gid:23800, code:000686, symbol:东北证券 
gid:23900, code:000687, symbol:华讯方舟 
gid:24000, code:000688, symbol:建新矿业 
gid:24100, code:000690, symbol:宝新能源 
gid:24200, code:000691, symbol:ST亚太 
gid:24300, code:000692, symbol:惠天热电 
gid:24400, code:000693, symbol:*ST华泽 
gid:24500, code:000695, symbol:滨海能源 
gid:24600, code:000697, symbol:炼石有色 
gid:24700, code:000698, symbol:沈阳化工 
gid:24800, code:000700, symbol:模塑科技 
gid:24900, code:000701, symbol:厦门信达 
gid:25000, code:000702, symbol:正虹科技 
gid:25100, code:000703, symbol:恒逸石化 
gid:25200, code:000705, symbol:浙江震元 
gid:25300, code:000707, symbol:双环科技 
gid:25400, code:000708, symbol:大冶特钢 
gid:25500, code:000709, symbol:河钢股份 
gid:25600, code:000710, symbol:*ST天仪 
