gid:28601, code:019205, symbol:12国债05 
gid:28701, code:019206, symbol:12国债06 
gid:28801, code:019208, symbol:12国债08 
gid:28901, code:019209, symbol:12国债09 
gid:29001, code:019210, symbol:12国债10 
gid:29101, code:019212, symbol:12国债12 
gid:29201, code:019213, symbol:12国债13 
gid:29301, code:019214, symbol:12国债14 
gid:29401, code:019215, symbol:12国债15 
gid:29501, code:019216, symbol:12国债16 
gid:29601, code:019218, symbol:12国债18 
gid:29701, code:019220, symbol:12国债20 
gid:29801, code:019221, symbol:12国债21 
gid:29901, code:019301, symbol:13国债01 
gid:30001, code:019303, symbol:13国债03 
gid:30101, code:019305, symbol:13国债05 
gid:30201, code:019308, symbol:13国债08 
gid:30301, code:019309, symbol:13国债09 
gid:30401, code:019310, symbol:13国债10 
gid:30501, code:019311, symbol:13国债11 
gid:30601, code:019313, symbol:13国债13 
gid:30701, code:019315, symbol:13国债15 
gid:30801, code:019316, symbol:13国债16 
gid:30901, code:019318, symbol:13国债18 
gid:31001, code:019319, symbol:13国债19 
gid:31101, code:019320, symbol:13国债20 
gid:31201, code:019323, symbol:13国债23 
gid:31301, code:019324, symbol:13国债24 
gid:31401, code:019325, symbol:13国债25 
gid:31501, code:019401, symbol:14国债01 
gid:31601, code:019403, symbol:14国债03 
gid:31701, code:019405, symbol:14国债05 
gid:31801, code:019406, symbol:14国债06 
gid:31901, code:019408, symbol:14国债08 
gid:32001, code:019409, symbol:14国债09 
gid:32101, code:019410, symbol:14国债10 
gid:32201, code:019412, symbol:14国债12 
gid:32301, code:019413, symbol:14国债13 
gid:32401, code:019416, symbol:14国债16 
gid:32501, code:019417, symbol:14国债17 
gid:32601, code:019420, symbol:14国债20 
gid:32701, code:019421, symbol:14国债21 
gid:32801, code:019424, symbol:14国债24 
gid:32901, code:019425, symbol:14国债25 
gid:33001, code:019426, symbol:14国债26 
gid:33101, code:019427, symbol:14国债27 
gid:33201, code:019429, symbol:14国债29 
gid:33301, code:019502, symbol:15国债02 
gid:33401, code:019503, symbol:15国债03 
gid:33501, code:019504, symbol:15国债04 
gid:33601, code:019505, symbol:15国债05 
gid:33701, code:019507, symbol:15国债07 
gid:33801, code:019508, symbol:15国债08 
gid:33901, code:019510, symbol:15国债10 
gid:34001, code:019511, symbol:15国债11 
gid:34101, code:019512, symbol:15国债12 
gid:34201, code:019514, symbol:15国债14 
gid:34301, code:019516, symbol:15国债16 
gid:34401, code:019517, symbol:15国债17 
gid:34501, code:019519, symbol:15国债19 
gid:34601, code:019521, symbol:15国债21 
gid:34701, code:019522, symbol:15国债22 
gid:34801, code:019523, symbol:15国债23 
gid:34901, code:019525, symbol:15国债25 
gid:35001, code:019526, symbol:15国债26 
gid:35101, code:019528, symbol:15国债28 
gid:35201, code:019530, symbol:16国债02 
gid:35301, code:019531, symbol:16国债03 
gid:35401, code:019532, symbol:16国债04 
gid:35501, code:019534, symbol:16国债06 
gid:35601, code:019535, symbol:16国债07 
gid:35701, code:019536, symbol:16国债08 
gid:35801, code:019537, symbol:16国债09 
gid:35901, code:019538, symbol:16国债10 
gid:36001, code:019540, symbol:16国债12 
gid:36101, code:019541, symbol:16国债13 
gid:36201, code:019542, symbol:16国债14 
gid:36301, code:019543, symbol:16国债15 
gid:36401, code:019544, symbol:16国债16 
gid:36501, code:019545, symbol:16国债17 
gid:36601, code:019546, symbol:16国债18 
gid:36701, code:019547, symbol:16国债19 
gid:36801, code:019548, symbol:16国债20 
gid:36901, code:019549, symbol:16国债21 
gid:37001, code:019550, symbol:16国债22 
gid:37101, code:019551, symbol:16国债23 
gid:37201, code:019552, symbol:16国债24 
gid:37301, code:019553, symbol:16国债25 
gid:37401, code:019554, symbol:16国债26 
gid:37501, code:019555, symbol:17国债01 
gid:37601, code:019556, symbol:17国债02 
gid:37701, code:019557, symbol:17国债03 
gid:37801, code:019558, symbol:17国债04 
gid:37901, code:019559, symbol:17国债05 
gid:38001, code:019560, symbol:17国债06 
gid:38101, code:019561, symbol:17国债07 
gid:38201, code:019562, symbol:17国债08 
gid:38301, code:019563, symbol:17国债09 
gid:38401, code:019564, symbol:17国债10 
gid:38501, code:019565, symbol:17国债11 
gid:38601, code:019566, symbol:17国债12 
gid:38701, code:019567, symbol:17国债13 
gid:38801, code:019802, symbol:08国债02 
gid:38901, code:019803, symbol:08国债03 
gid:39001, code:019806, symbol:08国债06 
gid:39101, code:019810, symbol:08国债10 
gid:39201, code:019813, symbol:08国债13 
gid:39301, code:019818, symbol:08国债18 
gid:39401, code:019820, symbol:08国债20 
gid:39501, code:019823, symbol:08国债23 
gid:39601, code:019825, symbol:08国债25 
gid:39701, code:019902, symbol:09国债02 
gid:39801, code:019903, symbol:09国债03 
gid:39901, code:019905, symbol:09国债05 
gid:40001, code:019907, symbol:09国债07 
gid:40101, code:019911, symbol:09国债11 
gid:40201, code:019912, symbol:09国债12 
gid:40301, code:019916, symbol:09国债16 
gid:40401, code:019920, symbol:09国债20 
gid:40501, code:019923, symbol:09国债23 
gid:40601, code:019925, symbol:09国债25 
gid:40701, code:019927, symbol:09国债27 
gid:40801, code:019930, symbol:09国债30 
gid:40901, code:020159, symbol:17贴债03 
gid:41001, code:020163, symbol:17贴债07 
gid:41101, code:020168, symbol:17贴债12 
gid:41201, code:020172, symbol:17贴债16 
gid:41301, code:020173, symbol:17贴债17 
gid:41401, code:020174, symbol:17贴债18 
gid:41501, code:020175, symbol:17贴债19 
gid:41601, code:020176, symbol:17贴债20 
gid:41701, code:020177, symbol:17贴债21 
gid:41801, code:020178, symbol:17贴债22 
gid:41901, code:020179, symbol:17贴债23 
gid:42001, code:020180, symbol:17贴债24 
gid:42101, code:020181, symbol:17贴债25 
gid:42201, code:020182, symbol:17贴债26 
gid:42301, code:020183, symbol:17贴债27 
gid:42401, code:020184, symbol:17贴债28 
gid:42501, code:020185, symbol:17贴债29 
gid:42601, code:020186, symbol:17贴债30 
gid:42701, code:020187, symbol:17贴债31 
